"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","3/3/2013","Court 4","5:30pm","6G PLV Monarchs 6th","6G Fighting Masons 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 4","3:30pm","6G PLV Monarchs 6th","6G Marian Jr. Crusaders White 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 4","5:30pm","6G Fighting Masons 6th","6G Marian Jr. Crusaders White 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 4","3:30pm","6G Westside Black 6th","6G Marian Jr. Crusaders White 6th","6th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 4","4:30pm","6G PLV South Titans Black 6th","6G Marian Jr. Crusaders White 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 4","4:30pm","6G Marian Jr. Crusaders White 6th","6G Millard West Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 4","4:30pm","6G Trailblazers 6th","6G Millard West Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 4","4:30pm","6G PLV Monarchs 6th","6G Millard West Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 4","5:30pm","6G Fighting Masons 6th","6G Nebraska Heat 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 4","5:30pm","6G Marian Jr. Crusaders White 6th","6G Nebraska Heat 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 4","5:30pm","6G Trailblazers 6th","6G Nebraska Heat 6th","6th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 4","7:30pm","6G Millard West Black 6th","6G Nebraska Heat 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 4","7:30pm","6G Nebraska Heat 6th","6G PLV Monarchs 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 4","3:30pm","6G Westside Black 6th","6G PLV Monarchs 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 4","4:30pm","6G PLV South Titans Black 6th","6G PLV Monarchs 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 4","4:30pm","6G Westside Black 6th","6G PLV South Titans Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 4","4:30pm","6G Millard West Black 6th","6G PLV South Titans Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 4","5:30pm","6G Nebraska Heat 6th","6G PLV South Titans Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 4","7:30pm","6G PLV South Titans Black 6th","6G Trailblazers 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 4","3:30pm","6G PLV Monarchs 6th","6G Trailblazers 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 4","3:30pm","6G Marian Jr. Crusaders White 6th","6G Trailblazers 6th","6th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 4","3:30pm","6G Millard West Black 6th","6G Westside Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 4","7:30pm","6G Nebraska Heat 6th","6G Westside Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 4","7:30pm","6G Fighting Masons 6th","6G Westside Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 4","3:30pm","6G Trailblazers 6th","6G Westside Black 6th","6th Grade Gold","Lied Center"
"Winter 2013","2/10/2013","Court 2","12:30pm","6S Wahoo Cavalry 6th","6S Bellevue Thunder 6th Pancoe","6th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 2","1:30pm","6S Council Bluffs Titans Blue 6th","6S Bellevue Thunder 6th Pancoe","6th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 1","10:30am","6S Lady Warriors 6th","6S Bellevue Thunder 6th Pancoe","6th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 2","12:30pm","6S Millard South White 6th","6S Council Bluffs Titans Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 4","6:30pm","6S For Pete Force Gold 6th","6S Council Bluffs Titans Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 2","1:30pm","6S Lady Grizzlies Black 6th","6S Council Bluffs Titans Blue 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 2","1:30pm","6S For Pete Force Gold 6th","6S Council Bluffs Titans White 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 3","2:30pm","6S Marian Crusaders Blue 6th","6S Council Bluffs Titans White 6th","6th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 1","10:30am","6S Lady Grizzlies Black 6th","6S Council Bluffs Titans White 6th","6th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 3","2:30pm","6S Millard South White 6th","6S Council Bluffs Titans White 6th","6th Grade Silver","Lied Center"
