Season,Date,Time,Visitor,Home,Division,Location,Court
Summer 2014,6/3/2014,6:45pm,4/5 Gym Rats 4th,4/5 Gretna Whyte 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/3/2014,7:45pm,4/5 Roncalli Lady Pride 5th,4/5 Gym Rats 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/3/2014,8:45pm,7 Roncalli Lady Pride 7th,7 Legacy 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/3/2014,6:45pm,6 Legacy 6th,6 Lady Grizzlies Orange 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/3/2014,7:45pm,6 Gretna Dynamite 6th,6 Millard South 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/3/2014,8:45pm,6 Marian Crusaders White 6th,6 Roncalli Lady Pride 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/5/2014,6:45pm,7 Gross 6th/7th,7 St Roberts 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/5/2014,7:45pm,7 Lady Grizzlies Black 6th,7 Gym Rats 7th/8th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/5/2014,8:45pm,7 Lady Warriors 7th,7 Marian Jr. Crusaders 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/5/2014,6:45pm,6 Millard North Silver 6th,6 Gym Rats 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/5/2014,7:45pm,6 Lady Grizzlies Orange 6th,6 Marian Crusaders Blue 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/5/2014,8:45pm,6 Marian Crusaders Blue 6th,6 PLV Monarchs 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/10/2014,6:45pm,4/5 Gretna Whyte 5th,4/5 Roncalli Lady Pride 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/10/2014,7:45pm,4/5 Gym Rats 5th,4/5 Gym Rats 4th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/10/2014,8:45pm,7 St Roberts 7th,7 Lady Grizzlies Black 6th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/10/2014,6:45pm,6 PLV Monarchs 6th,6 Gretna Dynamite 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/10/2014,7:45pm,6 Lady Grizzlies Orange 6th,6 PLV Monarchs 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/10/2014,8:45pm,6 Marian Crusaders Blue 6th,6 Gym Rats 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/12/2014,6:45pm,7 Gym Rats 7th/8th,7 Lady Warriors 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/12/2014,7:45pm,7 Roncalli Lady Pride 7th,7 Gym Rats 7th/8th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/12/2014,8:45pm,7 Legacy 7th,7 Gross 6th/7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/12/2014,6:45pm,6 Gym Rats 6th,6 Legacy 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/12/2014,7:45pm,6 Legacy 6th,6 Roncalli Lady Pride 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/12/2014,8:45pm,6 Roncalli Lady Pride 6th,6 Millard North Silver 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/17/2014,6:45pm,4/5 Gym Rats 5th,4/5 Gretna Whyte 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/17/2014,7:45pm,4/5 Gym Rats 4th,4/5 Roncalli Lady Pride 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/17/2014,8:45pm,7 Marian Jr. Crusaders 7th,7 Roncalli Lady Pride 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/17/2014,6:45pm,6 Millard South 6th,6 Marian Crusaders White 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/17/2014,7:45pm,6 Marian Crusaders White 6th,6 Gretna Dynamite 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/17/2014,8:45pm,6 Marian Crusaders Blue 6th,6 Millard South 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/19/2014,6:45pm,7 Gross 6th/7th,7 Lady Warriors 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/19/2014,7:45pm,7 Lady Warriors 7th,7 St Roberts 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/19/2014,8:45pm,7 Lady Grizzlies Black 6th,7 Gross 6th/7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/19/2014,6:45pm,6 Gym Rats 6th,6 Lady Grizzlies Orange 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/19/2014,7:45pm,6 PLV Monarchs 6th,6 Marian Crusaders White 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/19/2014,8:45pm,6 Millard North Silver 6th,6 Millard South 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/24/2014,6:45pm,4/5 Gym Rats 5th,4/5 Roncalli Lady Pride 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/24/2014,7:45pm,4/5 Gretna Whyte 5th,4/5 Gym Rats 4th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,6/24/2014,8:45pm,7 St Roberts 7th,7 Roncalli Lady Pride 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/24/2014,6:45pm,6 Roncalli Lady Pride 6th,6 Marian Crusaders Blue 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/24/2014,7:45pm,6 Legacy 6th,6 Gretna Dynamite 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/24/2014,8:45pm,6 Lady Grizzlies Orange 6th,6 Roncalli Lady Pride 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/26/2014,6:45pm,7 Legacy 7th,7 Lady Grizzlies Black 6th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/26/2014,7:45pm,7 Gym Rats 7th/8th,7 Marian Jr. Crusaders 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/26/2014,8:45pm,7 Marian Jr. Crusaders 7th,7 Legacy 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,6/26/2014,6:45pm,6 Millard North Silver 6th,6 Marian Crusaders White 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/26/2014,7:45pm,6 Millard South 6th,6 Legacy 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,6/26/2014,8:45pm,6 Gretna Dynamite 6th,6 Millard North Silver 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,7/1/2014,4:45pm,4/5 Roncalli Lady Pride 5th,4/5 Gym Rats 4th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,7/1/2014,5:45pm,7 St Roberts 7th,7 Gym Rats 7th/8th,7th Grade,Nebraska Elite,Court 1
Summer 2014,7/1/2014,6:45pm,4/5 Gym Rats 4th,4/5 Gym Rats 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,7/1/2014,7:45pm,4/5 Roncalli Lady Pride 5th,4/5 Gretna Whyte 5th,4/5 Grade,Nebraska Elite,Court 1
Summer 2014,7/1/2014,8:45pm,7 Gym Rats 7th/8th,7 Legacy 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,7/1/2014,4:45pm,4/5 Gretna Whyte 5th,4/5 Gym Rats 5th,4/5 Grade,Nebraska Elite,Court 2
Summer 2014,7/1/2014,5:45pm,7 Lady Grizzlies Black 6th,7 Roncalli Lady Pride 7th,7th Grade,Nebraska Elite,Court 2
Summer 2014,7/1/2014,6:45pm,6 Gretna Dynamite 6th,6 Marian Crusaders Blue 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,7/1/2014,7:45pm,6 Roncalli Lady Pride 6th,6 Gym Rats 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,7/1/2014,8:45pm,6 Gym Rats 6th,6 PLV Monarchs 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,7/3/2014,5:45pm,7 Gross 6th/7th,7 Marian Jr. Crusaders 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,7/3/2014,6:45pm,7 Marian Jr. Crusaders 7th,7 St Roberts 7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,7/3/2014,7:45pm,7 Roncalli Lady Pride 7th,7 Gross 6th/7th,7th Grade,Nebraska Elite,Court 1
Summer 2014,7/3/2014,8:45pm,7 Lady Warriors 7th,7 Lady Grizzlies Black 6th,7th Grade,Nebraska Elite,Court 1
Summer 2014,7/3/2014,5:45pm,7 Legacy 7th,7 Lady Warriors 7th,7th Grade,Nebraska Elite,Court 2
Summer 2014,7/3/2014,6:45pm,6 Millard South 6th,6 Lady Grizzlies Orange 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,7/3/2014,7:45pm,6 Marian Crusaders White 6th,6 Legacy 6th,6th Grade,Nebraska Elite,Court 2
Summer 2014,7/3/2014,8:45pm,6 PLV Monarchs 6th,6 Millard North Silver 6th,6th Grade,Nebraska Elite,Court 2
