Season,Date,Time,Division,Visitor,Home,Location,Court
Fall 2010,11/14/2010,4:30pm,7th Grade Gold,7G Harlan Cyclones 7th,7G Westside 7th Black,Lied Center,Court 3
Fall 2010,11/14/2010,5:30pm,8th Grade Bronze,8B Millard West 8th Green,8B For Pete Lady Sky Force 8th,Lied Center,Court 3
Fall 2010,11/14/2010,6:30pm,7th Grade Gold,7G Millard West 7th Black,7G Bellevue West 7th,Lied Center,Court 3
Fall 2010,11/14/2010,7:30pm,7th Grade Gold,7G Bellevue East 7th,7G Gretna Lady Dragons 7th,Lied Center,Court 3
Fall 2010,11/14/2010,10:30am,7th Grade Bronze,7B Gretna 7th White,7B Millard West 7th Green,Lied Center,Court 4
Fall 2010,11/14/2010,11:30am,7th Grade Bronze,7B Ralston Rampage 7th,7B Wahoops 7th,Lied Center,Court 4
Fall 2010,11/14/2010,12:30pm,7th Grade Bronze,7B Glenwood 7th,7B Millard North 7th Blue,Lied Center,Court 4
Fall 2010,11/14/2010,1:30pm,7th Grade Silver,7S Marian Nets 7th,7S Council Bluffs Titans 7th,Lied Center,Court 4
Fall 2010,11/14/2010,2:30pm,7th Grade Bronze,7B Papillioin LaVista South 7th,7B Westside 7th White,Lied Center,Court 4
Fall 2010,11/14/2010,3:30pm,7th Grade Bronze,7B Elkhorn Elite 7th Red,7B Nebraksa City Comets 7th,Lied Center,Court 4
Fall 2010,11/14/2010,4:30pm,7th Grade Bronze,7B Warriors 7th,7B Elkhorn Elite 7th Red,Lied Center,Court 4
Fall 2010,11/14/2010,5:30pm,7th Grade Bronze,7B Gross Jr. Cougars 7th,7B Westside 7th Red,Lied Center,Court 4
Fall 2010,11/14/2010,6:30pm,7th Grade Bronze,7B Elkhorn Elite 7th White,7B Legacy 7th,Lied Center,Court 4
Fall 2010,11/21/2010,10:30am,8th Grade Silver,8S Council Bluffs Titans 8th White,8S Papillion LaVista Monarchs 8th,Lied Center,Court 1
Fall 2010,11/21/2010,11:30am,8th Grade Silver,8S Gross Jr. Cougars 8th,8S Lady Rimshakers 8th,Lied Center,Court 1
Fall 2010,11/21/2010,12:30pm,8th Grade Gold,8G Harlan Cyclones 8th,8G Elkhorn Elite 8th Black,Lied Center,Court 1
Fall 2010,11/21/2010,1:30pm,8th Grade Gold,8G Papillion LaVista Monarchs 8th,8G Harlan Cyclones 8th,Lied Center,Court 1
Fall 2010,11/21/2010,2:30pm,8th Grade Silver,8S TC Trojans 8th,8S OSA 8th,Lied Center,Court 1
Fall 2010,11/21/2010,3:30pm,8th Grade Gold,8G For Pete Steel Force 8th,8G Westside 8th Black,Lied Center,Court 1
