Season,Date,Time,Visitor,Home,Division,Location,Court
Fall 2016,10/29/2016,3:00pm,4GS Millard West Black 4th,4GS Elkhorn Elite Red 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,4:00pm,4GS Lady Grizzlies Orange 4th,4GS Roncalli Lady Pride 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,5:00pm,4GS Millard West Black 4th,4GS Bennington Badgers Reinoehl 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,6:00pm,4GS OSA Gold 4th,4GS Westside Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,7:00pm,4GS Elkhorn South Jr Storm 4th,4GS Blair Purple 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,1:00pm,4GS Millard West Black 4th,4GS Westside Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,12:00pm,4GS Marian Jr Crusaders O'Brien 3rd/4th,4GS Lady Grizzlies Orange 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,2:00pm,4GS Elkhorn Angles 4th,4GS Millard West Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,3:00pm,4GS Roncalli Lady Pride 4th,4GS Elkhorn South Jr Storm 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,4:00pm,4GS Bennington Badgers Reinoehl 4th,4GS Elkhorn Elite Gold 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,5:00pm,4GS Blair Purple 4th,4GS Gretna Heckenlively 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,6:00pm,4GS Elkhorn Elite Red 4th,4GS Millard South 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,7:00pm,4GS Gretna Horak 4th,4GS OSA Gold 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,1:00pm,4GS Elkhorn Elite Gold 4th,4GS Elkhorn Angles 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,12:00pm,4GS Millard South 4th,4GS Blair Purple 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,2:00pm,4GS Lady Grizzlies Orange 4th,4GS Bennington Badgers Reinoehl 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,3:00pm,4GS Westside Black 4th,4GS Lady Grizzlies Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,4:00pm,4GS Elkhorn South Jr Storm 4th,4GS Gretna Heckenlively 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,5:00pm,4GS Lady Grizzlies Black 4th,4GS Gretna Horak 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,6:00pm,4GS Gretna Heckenlively 4th,4GS Elkhorn Elite Red 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,7:00pm,4GS Roncalli Lady Pride 4th,4GS Marian Jr Crusaders O'Brien 3rd/4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,1:00pm,4GS Gretna Horak 4th,4GS Millard West Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,12:00pm,4GS Elkhorn South Jr Storm 4th,4GS Millard South 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,2:00pm,4GS Gretna Heckenlively 4th,4GS Millard South 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,3:00pm,4GS Blair Purple 4th,4GS OSA Gold 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,4:00pm,4GS Elkhorn Elite Red 4th,4GS Lady Grizzlies Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,5:00pm,4GS Elkhorn Angles 4th,4GS Lady Grizzlies Orange 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,6:00pm,4GS Bennington Badgers Reinoehl 4th,4GS Roncalli Lady Pride 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,7:00pm,4GS Westside Black 4th,4GS Elkhorn Elite Gold 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,1:00pm,4GS OSA Gold 4th,4GS Elkhorn Elite Red 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,12:00pm,4GS Marian Jr Crusaders O'Brien 3rd/4th,4GS Elkhorn South Jr Storm 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,2:00pm,4GS Marian Jr Crusaders O'Brien 3rd/4th,4GS Bennington Badgers Reinoehl 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,3:00pm,4GS OSA Gold 4th,4GS Gretna Heckenlively 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,4:00pm,4GS Roncalli Lady Pride 4th,4GS Elkhorn Angles 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,5:00pm,4GS Elkhorn Elite Gold 4th,4GS Gretna Horak 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,6:00pm,4GS Lady Grizzlies Orange 4th,4GS Westside Black 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,7:00pm,4GS Lady Grizzlies Black 4th,4GS Blair Purple 4th,4th Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,1:00pm,5B CB Pink Panthers B 5th,5B Skutt Skyhawks 5th,5th Grade Bronze,JCC,Court 1
Fall 2016,10/15/2016,4:00pm,5B Westside White 5th,5B Marian Jr Crusaders Helton 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,5:00pm,5B CB Extreme 5th,5B CB Pink Panthers B 5th,5th Grade Bronze,JCC,Court 2
Fall 2016,10/15/2016,5:00pm,5B Elkhorn Elite White 5th,5B Marian Jr Crusaders Helton 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,6:00pm,5B Gretna Whyte 5th,5B Blair White 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,7:00pm,5B PLV South Titans Blue 5th,5B Al Jr Lynx 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,7:00pm,5B Bennington Badgers McIlnay 5th,5B Westside Red 5th,5th Grade Bronze,ERMS,Court 2
Fall 2016,10/15/2016,8:00pm,5B Elkhorn Elite Black 5th,5B Al Jr Lynx 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,8:00pm,5B Millard West Green 5th,5B Gretna Whyte 5th,5th Grade Bronze,NE Elite,Court 1
Fall 2016,10/22/2016,1:00pm,5B Al Jr Lynx 5th,5B Bennington Badgers McIlnay 5th,5th Grade Bronze,JCC,Court 1
Fall 2016,10/22/2016,4:00pm,5B Blair White 5th,5B PLV South Titans Blue 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,5:00pm,5B Marian Jr Crusaders Helton 5th,5B Millard Dribbling Divas 5th,5th Grade Bronze,JCC,Court 2
Fall 2016,10/22/2016,5:00pm,5B Gretna Whyte 5th,5B PLV South Titans Blue 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,6:00pm,5B Skutt Skyhawks 5th,5B Bennington Badgers Urbanec 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,7:00pm,5B Millard West Green 5th,5B Elkhorn Elite Black 5th,5th Grade Bronze,ERMS,Court 2
Fall 2016,10/22/2016,7:00pm,5B Skutt Skyhawks 5th,5B Westside Red 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,8:00pm,5B Elkhorn Elite White 5th,5B Millard West White 5th,5th Grade Bronze,NE Elite,Court 1
Fall 2016,10/22/2016,8:00pm,5B Bennington Badgers Urbanec 5th,5B Westside White 5th,5th Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,1:00pm,5B Westside White 5th,5B CB Pink Panthers B 5th,5th Grade Bronze,JCC,Court 1
Fall 2016,10/29/2016,4:00pm,5B Elkhorn Elite Blue 5th,5B Elkhorn Elite White 5th,5th Grade Bronze,NE Elite,Court 2
