Season,Date,Time,Visitor,Home,Division,Location,Court
Fall 2016,12/3/2016,10:00am,3B AL Jr Lynx 3rd,3B AG Lady Jays 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,12/3/2016,11:00am,3B Elkhorn Elite Gold 3rd,3B Bellevue Thunder Purple 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,12/3/2016,9:00am,3B Bellevue Ice 3rd,3B Gretna Hermeling 3rd,3rd Grade Bronze,NE Elite,Court 2
Fall 2016,10/14/2016,5:30pm,3GS Millard South 3rd,3GS Cardinals 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,10:00am,3GS Blair Purple 3rd,3GS OSA Platinum 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,11:00am,3GS OSA Gold 3rd,3GS Lady Grizzlies 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/15/2016,9:00am,3GS Bellevue Thunder Gold 3rd,3GS Millard West Black 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/21/2016,5:30pm,3GS Lady Grizzlies 3rd,3GS Millard West Black 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,10:00am,3GS Blair Purple 3rd,3GS Bellevue Thunder Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,11:00am,3GS OSA Gold 3rd,3GS Millard South 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/22/2016,9:00am,3GS Cardinals 3rd,3GS OSA Platinum 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/28/2016,5:30pm,3GS Blair Purple 3rd,3GS Cardinals 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,10:00am,3GS OSA Gold 3rd,3GS Millard West Black 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,11:00am,3GS Lady Grizzlies 3rd,3GS OSA Platinum 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/29/2016,9:00am,3GS Millard South 3rd,3GS Bellevue Thunder Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/4/2016,5:30pm,3GS Cardinals 3rd,3GS Lady Grizzlies 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,10:00am,3GS Millard West Black 3rd,3GS Blair Purple 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,11:00am,3GS OSA Platinum 3rd,3GS Millard South 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/5/2016,9:00am,3GS OSA Platinum 3rd,3GS Bellevue Thunder Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/11/2016,5:30pm,3GS Millard South 3rd,3GS Blair Purple 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,10:00am,3GS Cardinals 3rd,3GS OSA Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,11:00am,3GS Millard West Black 3rd,3GS Millard South 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/12/2016,9:00am,3GS Bellevue Thunder Gold 3rd,3GS OSA Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/18/2016,5:30pm,3GS Lady Grizzlies 3rd,3GS Millard South 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,10:00am,3GS Millard West Black 3rd,3GS OSA Platinum 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,11:00am,3GS Blair Purple 3rd,3GS OSA Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,11/19/2016,9:00am,3GS Cardinals 3rd,3GS Bellevue Thunder Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/2/2016,5:30pm,3GS Lady Grizzlies 3rd,3GS Blair Purple 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,10:00am,3GS Cardinals 3rd,3GS OSA Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,11:00am,3GS Millard West Black 3rd,3GS OSA Gold 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,12/3/2016,9:00am,3GS Bellevue Thunder Gold 3rd,3GS Lady Grizzlies 3rd,3rd Grade Gold/Silver,NE Elite,Court 1
Fall 2016,10/14/2016,6:30pm,4B DC West Swish 3rd/4th,4B Millard West Green 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,10/14/2016,7:30pm,4B Roncalli Lady Pride 4th,4B DC West Swish 3rd/4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,10/15/2016,1:00pm,4B EAA Elkhorn 4th,4B AG Lady Jays Blue,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,12:00pm,4B AG Lady Jays White 4th,4B Westside Red 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,2:00pm,4B Bellevue Thunder 4th,4B AG Lady Jays White 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/15/2016,3:00pm,4B AL Jr Lynx 4th,4B Elkhorn Elite Blue 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/21/2016,6:30pm,4B Millard West Green 4th,4B AL Jr Lynx 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,10/21/2016,7:30pm,4B Elkhorn Elite Blue 4th,4B Bellevue Thunder 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,10/22/2016,1:00pm,4B Westside Red 4th,4B Bennington Badgers Anderson 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,12:00pm,4B Westside Red 4th,4B AG Lady Jays Blue,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,2:00pm,4B DC West Swish 3rd/4th,4B EAA Elkhorn 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/22/2016,3:00pm,4B Bennington Badgers Anderson 4th,4B Roncalli Lady Pride 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/28/2016,6:30pm,4B Elkhorn Elite Blue 4th,4B DC West Swish 3rd/4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,10/28/2016,7:30pm,4B Bellevue Thunder 4th,4B Westside Red 4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,10/29/2016,1:00pm,4B AG Lady Jays White 4th,4B AL Jr Lynx 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,12:00pm,4B AG Lady Jays Blue,4B Roncalli Lady Pride 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,2:00pm,4B DC West Swish 3rd/4th,4B Bennington Badgers Anderson 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,10/29/2016,3:00pm,4B Millard West Green 4th,4B EAA Elkhorn 4th,4th Grade Bronze,NE Elite,Court 2
Fall 2016,11/4/2016,6:30pm,4B Waverly Vikings Harms 4th,4B DC West Swish 3rd/4th,4th Grade Bronze,NE Elite,Court 1
Fall 2016,11/4/2016,7:30pm,4B Waverly Vikings Harms 4th,4B Roncalli Lady Pride 4th,4th Grade Bronze,NE Elite,Court 1
